gene,gene_short_name,dpt_correlation,p_value,q_value,abs_correlation
WBGene00016463,C35E7.11,0.6878593140733127,0.0,0.0,0.6878593140733127
WBGene00011500,T05G5.5,0.6745324715534918,0.0,0.0,0.6745324715534918
WBGene00022144,pghm-1,0.6687272873460631,0.0,0.0,0.6687272873460631
WBGene00015613,C08F1.10,-0.6669940557986322,0.0,0.0,0.6669940557986322
WBGene00011392,sbt-1,0.6570114820019691,0.0,0.0,0.6570114820019691
WBGene00012853,Y44A6D.2,0.6535900236732121,0.0,0.0,0.6535900236732121
WBGene00249817,F42G8.19,0.6519382249838231,0.0,0.0,0.6519382249838231
WBGene00007883,C33A12.4,0.6400969344294859,0.0,0.0,0.6400969344294859
WBGene00006063,sto-1,-0.6196053611548431,0.0,0.0,0.6196053611548431
WBGene00011545,T06G6.3,0.6103229209504257,0.0,0.0,0.6103229209504257
WBGene00001898,his-24,-0.6039482137277329,0.0,0.0,0.6039482137277329
WBGene00004346,rgs-3,0.6006064935151919,0.0,0.0,0.6006064935151919
WBGene00000188,arl-3,0.5832354452811164,0.0,0.0,0.5832354452811164
WBGene00001853,hil-2,-0.5807999406458623,0.0,0.0,0.5807999406458623
WBGene00008453,E02A10.3,0.5803013769803596,0.0,0.0,0.5803013769803596
WBGene00003851,odr-4,0.5763369381733054,0.0,0.0,0.5763369381733054
WBGene00000301,cav-1,-0.5745078701600583,0.0,0.0,0.5745078701600583
WBGene00019324,K02F2.5,0.5739586576689668,0.0,0.0,0.5739586576689668
WBGene00004207,ptb-1,0.5738357074655642,0.0,0.0,0.5738357074655642
WBGene00194710,mks-2,0.5695315099675471,0.0,0.0,0.5695315099675471
WBGene00011289,R102.2,0.5684403115575359,0.0,0.0,0.5684403115575359
WBGene00009212,F28D1.2,-0.5645235711840021,0.0,0.0,0.5645235711840021
WBGene00010239,F58B4.6,0.5606817440762938,0.0,0.0,0.5606817440762938
WBGene00003642,nhr-52,0.5601460513243522,0.0,0.0,0.5601460513243522
WBGene00001189,egl-21,0.5533133740896459,0.0,0.0,0.5533133740896459
WBGene00007604,xbx-9,0.5479681786911976,0.0,0.0,0.5479681786911976
WBGene00002253,lbp-1,-0.5463290430400052,0.0,0.0,0.5463290430400052
WBGene00015610,C08F1.6,-0.5423960128904141,0.0,0.0,0.5423960128904141
WBGene00019432,knl-2,-0.5406296605821895,0.0,0.0,0.5406296605821895
WBGene00018606,F48E3.6,-0.5378331835425759,0.0,0.0,0.5378331835425759
WBGene00003963,pdi-2,-0.5347383564634716,0.0,0.0,0.5347383564634716
WBGene00012239,W04A8.4,-0.5331449870516903,0.0,0.0,0.5331449870516903
WBGene00013553,Y75B8A.18,-0.5288703427696397,0.0,0.0,0.5288703427696397
WBGene00000217,asp-4,-0.5264887601275469,0.0,0.0,0.5264887601275469
WBGene00008288,C54C6.6,0.5200071899769957,0.0,0.0,0.5200071899769957
WBGene00001854,hil-3,-0.5196588688168169,0.0,0.0,0.5196588688168169
WBGene00017671,pgal-1,0.515818177022752,0.0,0.0,0.515818177022752
WBGene00022111,Y71F9AL.6,-0.5123033551529468,0.0,0.0,0.5123033551529468
WBGene00021254,Y22D7AL.16,0.5108628301903261,0.0,0.0,0.5108628301903261
WBGene00018213,F39H12.2,0.5108270637163651,0.0,0.0,0.5108270637163651
WBGene00001971,hmg-1.1,-0.5036699421189847,0.0,0.0,0.5036699421189847
WBGene00002125,inx-3,-0.501585793864864,0.0,0.0,0.501585793864864
WBGene00022112,Y71F9AL.7,-0.49931121159060143,0.0,0.0,0.49931121159060143
WBGene00219372,F01E11.17,0.4985485627272783,0.0,0.0,0.4985485627272783
WBGene00005655,srr-4,0.49714238683676437,0.0,0.0,0.49714238683676437
WBGene00011156,R09B3.3,-0.49598510484304564,0.0,0.0,0.49598510484304564
WBGene00003745,nlp-7,0.4952162695327026,0.0,0.0,0.4952162695327026
WBGene00044066,fbxb-66,-0.4950217285037658,0.0,0.0,0.4950217285037658
WBGene00009716,F44G4.7,0.49043994794214807,0.0,0.0,0.49043994794214807
