gene,gene_short_name,correlation,p-value,discovery_score
WBGene00007883,C33A12.4,0.8567820659020382,1.9134912769816197e-140,10
WBGene00045386,C02B4.4,0.8423939794455813,2.988899262016309e-131,9
WBGene00016114,flp-27,0.796130915478436,5.326361772987942e-107,8
WBGene00003890,osm-10,0.7776495410318249,5.247063311353028e-99,7
WBGene00010848,M04B2.6,0.7748572582096437,7.257147721965858e-98,7
WBGene00019324,K02F2.5,0.7535032561463731,1.1830331549506477e-89,6
WBGene00017671,pgal-1,0.722529761166961,3.9139240623687416e-79,6
WBGene00022144,pghm-1,0.7158217926270573,4.8319767478149436e-77,5
WBGene00249817,F42G8.19,0.7113451736001233,1.1129900432086798e-75,5
WBGene00004207,ptb-1,0.7016811948998747,7.952038165997065e-73,5
WBGene00012853,Y44A6D.2,0.6830206133692848,1.2521471874678463e-67,5
WBGene00006985,zig-8,0.6747634131355175,1.8844466507264434e-65,5
WBGene00011289,R102.2,0.6701998022327849,2.8086194262578204e-64,4
WBGene00006778,unc-42,0.6665947206653973,2.2943397722182626e-63,4
WBGene00009901,F49E12.8,0.6497329216610847,2.9020294949679177e-59,4
WBGene00012382,ttr-16,0.6489890838078151,4.34173617420012e-59,4
WBGene00194921,ZK742.7,0.6212801010545093,6.642111153943488e-53,4
WBGene00005655,srr-4,0.6168564079774034,5.661700869637833e-52,4
WBGene00010239,F58B4.6,0.6143766559305498,1.8543217858439498e-51,4
WBGene00001681,gpc-1,0.5912184432941329,7.360548268286779e-47,3
WBGene00004921,snt-1,0.5899557442139005,1.2795178223567213e-46,3
WBGene00001989,hot-4,0.5582603396978634,6.372103356616291e-41,3
WBGene00004944,sol-1,0.5544096953998362,2.853339193785984e-40,3
WBGene00009917,glb-18,0.5527503450085158,5.411453146207283e-40,3
WBGene00044701,AH9.6,0.5463870282629483,6.094452866853335e-39,3
WBGene00021804,Y53G8AM.4,0.5418878602813666,3.2734779137646706e-38,3
WBGene00003849,odr-2,0.5405231700172185,5.423575852014157e-38,3
WBGene00021254,Y22D7AL.16,0.5339299261090367,6.021111046757259e-37,2
WBGene00012989,Y48C3A.5,0.5333761686701746,7.3524658995613145e-37,2
WBGene00019988,R09F10.5,0.5300377269609629,2.4326422166874223e-36,2
WBGene00020854,T27C4.1,0.5295880101801128,2.8552078975282105e-36,2
WBGene00010592,K06A4.2,0.5218477450826966,4.3318705680940984e-35,2
WBGene00269432,ZC132.11,0.5085023492927961,4.0089097207543696e-33,2
WBGene00005246,srh-21,0.5080338373719764,4.6826484393140963e-33,2
WBGene00012016,inpp-1,0.5057770178262726,9.863047322000184e-33,2
WBGene00044144,M153.4,0.5027813113601478,2.628698833087977e-32,2
WBGene00009983,cut-2,0.4993023766717682,8.107482441026474e-32,2
WBGene00194909,F41E6.17,0.49915237087929193,8.508461733565711e-32,2
WBGene00022063,Y67D8B.4,0.4955867747968342,2.6615897772928217e-31,2
WBGene00022842,ZK994.6,0.49296501611950444,6.104158154622362e-31,2
WBGene00003642,nhr-52,0.4924239015972302,7.238362227281075e-31,2
WBGene00011545,T06G6.3,0.49093879708701743,1.1537138778840697e-30,2
WBGene00001374,exp-2,0.48949994163873356,1.8084556069672088e-30,2
WBGene00009799,lgc-47,0.4893910229371136,1.8708854921614583e-30,2
WBGene00011899,T21C12.3,0.487032552639032,3.889657803307175e-30,2
WBGene00001242,elo-4,0.48239357255175136,1.614246828154223e-29,2
