selection,path_position,leiden,cluster_size,selected_count,selected_fraction_within_cluster,selected_fraction_of_selection
Selection 1,0,11,178,133,0.7471910112359551,0.2128
Selection 1,1,12,247,243,0.9838056680161943,0.3888
Selection 1,2,20,251,249,0.9920318725099602,0.3984
Selection 2,0,8,117,30,0.2564102564102564,0.030120481927710843
Selection 2,1,1,497,360,0.7243460764587525,0.3614457831325301
Selection 2,2,6,266,174,0.6541353383458647,0.1746987951807229
Selection 2,3,15,279,267,0.956989247311828,0.2680722891566265
Selection 2,4,16,110,110,1.0,0.11044176706827309
Selection 3,0,3,276,143,0.5181159420289855,0.29606625258799174
Selection 3,1,13,346,335,0.9682080924855492,0.6935817805383023
