selection,gene,gene_short_name,scsketch_correlation,abs_scsketch_correlation,orientation_adjusted_scsketch_correlation,paga_dpt_correlation,same_direction_orientation_adjusted,scsketch_p_value,q_value
Selection 1,WBGene00016561,eri-6,0.8887650818128008,0.8887650818128008,0.8887650818128008,0.8761973026637243,True,3.0838632444288955e-213,9.692397154736061e-212
Selection 1,WBGene00007883,C33A12.4,0.8859786588181304,0.8859786588181304,0.8859786588181304,0.8485012479420942,True,4.3430784533076844e-210,1.1762484525196664e-184
Selection 1,WBGene00015354,snet-1,0.7842271956835284,0.7842271956835284,0.7842271956835284,0.8470884505270643,True,2.9946292970756455e-131,1.3859630535066464e-183
Selection 1,WBGene00007604,xbx-9,0.8412349177293611,0.8412349177293611,0.8412349177293611,0.841191548342155,True,1.570415964194203e-168,9.839095777559833e-179
Selection 1,WBGene00017326,dmd-5,-0.8579736664137962,0.8579736664137962,-0.8579736664137962,-0.8390724588263943,True,2.1853704620585024e-182,4.856795693546458e-177
Selection 1,WBGene00006063,sto-1,-0.7932417032083324,0.7932417032083324,-0.7932417032083324,-0.8364049973633958,True,2.3983413219392678e-136,6.522413661012938e-175
Selection 1,WBGene00010236,F58B4.3,0.7794984059597705,0.7794984059597705,0.7794984059597705,0.8333858798664888,True,1.1290608167006919e-128,1.5615012233320606e-172
Selection 1,WBGene00008840,F15A4.5,0.7735845564356314,0.7735845564356314,0.7735845564356314,0.8252243207221278,True,1.5351426389736794e-125,3.1108648883550327e-166
Selection 1,WBGene00022144,pghm-1,0.8102754808023326,0.8102754808023326,0.8102754808023326,0.8241925998193047,True,1.0433952063440148e-146,1.6839737141031936e-165
Selection 1,WBGene00010559,K04D7.6,0.7557440506865012,0.7557440506865012,0.7557440506865012,0.819865028358785,True,1.2275996186654069e-116,2.503905373836272e-162
Selection 1,WBGene00010575,flp-25,0.7443775569956793,0.7443775569956793,0.7443775569956793,0.8043143344770828,True,2.3456676493442636e-111,1.57472236566445e-151
Selection 1,WBGene00011289,R102.2,0.7449005075058687,0.7449005075058687,0.7449005075058687,0.799112090954413,True,1.3597840341827057e-111,3.848368603479947e-148
Selection 1,WBGene00012853,Y44A6D.2,0.7616871137923671,0.7616871137923671,0.7616871137923671,0.7795338480819174,True,1.6237249740724242e-119,3.1350029366077435e-136
Selection 1,WBGene00010239,F58B4.6,0.7257035002448528,0.7257035002448528,0.7257035002448528,0.7759199015216038,True,2.9088279640608456e-103,3.605079653982136e-134
