selection,method,primary_method,selected_cells,n_finite_progress_and_pseudotime,path_progress_pseudotime_spearman_r,top_shared_genes,top25_overlap,top25_overlap_fraction,top25_jaccard,top50_overlap,top50_overlap_fraction,top50_jaccard,top100_overlap,top100_overlap_fraction,top100_jaccard,top200_overlap,top200_overlap_fraction,top200_jaccard
Selection 1,PAGA/DPT,True,625,625,0.9740777371856735,"eri-6, C33A12.4, dmd-5, xbx-9, pghm-1, sto-1, snet-1, F58B4.3, fbxc-20, F15A4.5",17,0.68,0.5151515151515151,30,0.6,0.42857142857142855,56,0.56,0.3888888888888889,103,0.515,0.3468013468013468
Selection 1,Slingshot,True,625,625,0.9396640991208559,"eri-6, C33A12.4, dmd-5, xbx-9, pghm-1, sto-1, snet-1, F58B4.3, fbxc-20, F15A4.5",16,0.64,0.47058823529411764,28,0.56,0.3888888888888889,50,0.5,0.3333333333333333,95,0.475,0.3114754098360656
Selection 1,Monocle3 global,True,625,625,0.9669037130761381,"eri-6, C33A12.4, dmd-5, xbx-9, pghm-1, sto-1, snet-1, F58B4.3, fbxc-20, F15A4.5",12,0.48,0.3157894736842105,24,0.48,0.3157894736842105,43,0.43,0.27388535031847133,76,0.38,0.2345679012345679
Selection 1,Monocle3 partitioned,False,625,625,-0.095439794744548,"ceh-37, fbxb-18, his-24, E01G4.5, ptb-1, snt-6, K07C5.9, lin-11, flp-34, F09E10.5",1,0.04,0.02040816326530612,5,0.1,0.05263157894736842,14,0.14,0.07526881720430108,30,0.15,0.08108108108108109
Selection 2,PAGA/DPT,True,996,996,0.8745469208633169,"C33A12.4, lbp-1, his-24, clec-266, hil-7, K08C7.4, hil-3, ptb-1, dct-14, fbxc-15",11,0.44,0.28205128205128205,25,0.5,0.3333333333333333,45,0.45,0.2903225806451613,78,0.39,0.2422360248447205
Selection 2,Slingshot,True,996,996,0.8533437122540379,"C33A12.4, lbp-1, his-24, clec-266, hil-7, C34E7.4, K08C7.4, T24E12.2, clec-196, hil-3",9,0.36,0.21951219512195122,19,0.38,0.2345679012345679,36,0.36,0.21951219512195122,63,0.315,0.18694362017804153
Selection 2,Monocle3 global,True,996,996,0.8553029528585965,"C33A12.4, lbp-1, his-24, clec-266, hil-7, C34E7.4, K08C7.4, T24E12.2, clec-196, hil-3",8,0.32,0.19047619047619047,15,0.3,0.17647058823529413,32,0.32,0.19047619047619047,59,0.295,0.17302052785923755
Selection 2,Monocle3 partitioned,False,996,996,0.048977735004910955,"C33A12.4, hil-7, C34E7.4, K08C7.4, clec-196, hil-3, ptb-1, dct-14, maph-9, T06G6.3",7,0.28,0.16279069767441862,15,0.3,0.17647058823529413,41,0.41,0.2578616352201258,64,0.32,0.19047619047619047
Selection 3,PAGA/DPT,True,483,483,0.9888714085627963,"C33A12.4, ins-2, ces-1, C02B4.4, flp-27, osm-10, M04B2.6, his-24, K02F2.5, Y37E3.30",13,0.52,0.35135135135135137,23,0.46,0.2987012987012987,41,0.41,0.2578616352201258,85,0.425,0.2698412698412698
Selection 3,Slingshot,True,483,483,0.9802842133754068,"C33A12.4, ins-2, ces-1, C02B4.4, flp-27, osm-10, M04B2.6, his-24, K02F2.5, Y37E3.30",13,0.52,0.35135135135135137,23,0.46,0.2987012987012987,43,0.43,0.27388535031847133,83,0.415,0.2618296529968454
Selection 3,Monocle3 global,True,483,483,0.928216288767586,"C33A12.4, ins-2, ces-1, C02B4.4, flp-27, osm-10, M04B2.6, his-24, K02F2.5, Y37E3.30",13,0.52,0.35135135135135137,21,0.42,0.26582278481012656,41,0.41,0.2578616352201258,80,0.4,0.25
Selection 3,Monocle3 partitioned,False,483,483,-0.4300744530852295,"C33A12.4, ces-1, C02B4.4, flp-27, osm-10, M04B2.6, K02F2.5, pgal-1, pghm-1, F42G8.19",11,0.44,0.28205128205128205,20,0.4,0.25,42,0.42,0.26582278481012656,76,0.38,0.2345679012345679
