selection,method,primary_method,selected_cells,n_finite_progress_and_pseudotime,path_progress_pseudotime_spearman_r,path_progress_pseudotime_spearman_p,path_progress_pseudotime_pearson_r,path_progress_pseudotime_pearson_p
Selection 1,PAGA/DPT,True,625,625,0.9740777371856735,0.0,0.9464982074478324,3.2936732470887586e-308
Selection 1,Slingshot,True,625,625,0.9396640991208559,2.030638517161947e-292,0.9196251274884251,5.101213820556974e-255
Selection 1,Monocle3 global,True,625,625,0.9669037130761381,0.0,0.9574891909335043,0.0
Selection 1,Monocle3 partitioned,False,625,625,-0.095439794744548,0.017001808843883814,-0.12637472672810807,0.001546866633087612
Selection 2,PAGA/DPT,True,996,996,0.8745469208633169,0.0,0.8895881981276066,0.0
Selection 2,Slingshot,True,996,996,0.8533437122540379,1.983395811819839e-283,0.9116217834973805,0.0
Selection 2,Monocle3 global,True,996,996,0.8553029528585965,4.182986139750086e-286,0.8706045845644085,1.827749768937191e-308
Selection 2,Monocle3 partitioned,False,996,996,0.048977735004910955,0.122419494922701,-0.00011756589101455904,0.9970433196710026
Selection 3,PAGA/DPT,True,483,483,0.9888714085627963,0.0,0.9617125353053303,1.5186017580312115e-272
Selection 3,Slingshot,True,483,483,0.9802842133754068,0.0,0.9539447578389975,1.1589099573602259e-253
Selection 3,Monocle3 global,True,483,483,0.928216288767586,1.1143876793834637e-208,0.8744993071277628,2.9642151822533166e-153
Selection 3,Monocle3 partitioned,False,483,483,-0.4300744530852295,3.641129503194396e-23,-0.48705611724837916,3.8614255503954225e-30
