selection,method,primary_method,shared_rank,gene,gene_short_name,scsketch_correlation,orientation_adjusted_scsketch_correlation,method_pseudotime_correlation,method_q_value,path_progress_pseudotime_spearman_r
Selection 1,PAGA/DPT,True,1,WBGene00016561,eri-6,0.8887650818128008,0.8887650818128008,0.8720353995545909,1.0932548277442949e-191,0.9740777371856735
Selection 1,PAGA/DPT,True,2,WBGene00007883,C33A12.4,0.8859786588181304,0.8859786588181304,0.8486641213207324,4.429829071437565e-171,0.9740777371856735
Selection 1,PAGA/DPT,True,3,WBGene00017326,dmd-5,-0.8579736664137962,-0.8579736664137962,-0.886820995650644,6.114284057136202e-207,0.9740777371856735
Selection 1,PAGA/DPT,True,4,WBGene00007604,xbx-9,0.8412349177293611,0.8412349177293611,0.8360667573395297,1.5932859343368278e-161,0.9740777371856735
Selection 1,PAGA/DPT,True,5,WBGene00022144,pghm-1,0.8102754808023326,0.8102754808023326,0.8263663119654162,1.698743034576959e-154,0.9740777371856735
Selection 1,PAGA/DPT,True,6,WBGene00006063,sto-1,-0.7932417032083324,-0.7932417032083324,-0.868836447736763,9.400806287877238e-189,0.9740777371856735
Selection 1,PAGA/DPT,True,7,WBGene00015354,snet-1,0.7842271956835284,0.7842271956835284,0.8653981089418608,1.26313331421005e-185,0.9740777371856735
Selection 1,PAGA/DPT,True,8,WBGene00010236,F58B4.3,0.7794984059597705,0.7794984059597705,0.8459940199559456,5.483874827058904e-169,0.9740777371856735
Selection 1,PAGA/DPT,True,9,WBGene00018352,fbxc-20,-0.774466322248665,-0.774466322248665,-0.8413983611782317,2.0661747563017413e-165,0.9740777371856735
Selection 1,PAGA/DPT,True,10,WBGene00008840,F15A4.5,0.7735845564356314,0.7735845564356314,0.8386316092316874,2.4819532437345665e-163,0.9740777371856735
Selection 1,PAGA/DPT,True,11,WBGene00012853,Y44A6D.2,0.7616871137923671,0.7616871137923671,0.7895962859648207,2.0296975223570918e-131,0.9740777371856735
